,state,2010,2011,2012,2013,2014,2015,2016
0,Alabama,5.7,6.2,7.1,7.2,5.7,7.2,8.4
1,Alaska,4.3,4.1,4.1,4.6,5.6,8.0,7.0
2,Arizona,6.4,6.1,5.5,5.4,4.7,4.5,5.5
3,Arkansas,4.6,5.4,5.9,5.4,5.6,6.3,7.2
4,California,4.8,4.8,5.0,4.6,4.4,4.8,4.9
5,Colorado,2.6,3.0,3.1,3.4,2.8,3.2,3.7
6,Connecticut,3.7,3.6,4.1,2.4,2.4,3.2,2.2
7,Delaware,5.7,5.3,6.1,4.2,5.8,6.6,5.9
8,Florida,5.2,5.2,5.2,5.0,5.8,5.1,5.4
9,Georgia,5.7,5.6,5.9,5.6,5.7,6.1,6.6
10,Hawaii,1.8,1.5,1.5,1.5,1.8,2.0,2.5
11,Idaho,1.4,2.2,1.9,1.7,2.0,1.9,2.9
12,Illinois,5.5,6.1,6.0,5.5,5.3,5.9,8.2
13,Indiana,4.1,4.7,4.7,5.4,5.0,5.6,6.6
14,Iowa,1.2,1.4,1.6,1.4,1.9,2.3,2.3
15,Kansas,3.4,3.9,2.9,3.9,3.1,4.3,3.8
16,Kentucky,4.3,3.5,4.6,3.8,3.6,4.9,5.9
17,Louisiana,11.0,11.1,10.6,10.8,10.3,10.5,11.8
18,Maine,1.8,2.0,2.0,1.8,1.6,1.7,1.5
19,Maryland,7.4,6.8,6.3,6.4,6.1,9.0,8.0
20,Massachusetts,3.3,2.8,1.8,2.0,2.0,1.9,2.0
21,Michigan,5.9,6.2,7.1,6.4,5.4,5.9,6.0
22,Minnesota,1.8,1.4,1.8,2.1,1.6,2.4,1.8
23,Mississippi,6.9,7.8,7.1,6.5,8.6,8.5,8.0
24,Missouri,7.0,6.1,6.5,6.1,6.6,8.3,8.8
25,Montana,2.5,2.9,2.9,2.2,3.6,3.7,3.5
26,Nebraska,3.0,3.7,2.8,3.1,2.9,3.3,2.6
27,Nevada,5.8,5.1,4.5,5.8,6.0,6.2,7.6
28,New Hampshire,1.0,1.3,1.1,1.7,0.9,1.1,1.3
29,New Jersey,4.2,4.3,4.4,4.5,3.9,4.1,4.2
30,New Mexico,6.8,7.6,5.6,6.0,4.8,5.6,6.7
31,New York,4.5,3.9,3.5,3.3,3.1,3.1,3.2
32,North Carolina,5.0,5.2,4.9,4.8,5.1,5.2,6.7
33,North Dakota,1.5,3.5,3.6,2.2,3.0,2.8,2.0
34,Ohio,4.2,4.4,4.1,3.9,4.0,4.5,5.6
35,Oklahoma,5.2,5.6,5.8,5.1,4.5,6.1,6.2
36,Oregon,2.5,2.2,2.3,2.0,2.0,2.7,2.8
37,Pennsylvania,5.1,5.0,5.5,4.7,4.8,5.2,5.2
38,Rhode Island,2.8,1.3,3.4,2.9,2.4,2.9,2.7
39,South Carolina,5.7,6.8,7.0,6.2,6.4,8.3,7.4
40,South Dakota,2.8,2.4,2.8,2.4,2.3,3.8,3.1
41,Tennessee,5.6,5.9,6.2,5.0,5.7,6.3,7.3
42,Texas,4.9,4.4,4.4,4.3,4.4,4.8,5.3
43,Utah,1.9,1.8,1.8,1.7,2.3,1.9,2.4
44,Vermont,1.1,1.8,1.3,1.6,1.6,1.6,2.2
45,Virginia,4.7,3.8,3.9,3.8,4.1,4.7,5.8
46,Washington,2.3,2.4,3.1,2.3,2.5,3.0,2.7
47,West Virginia,3.1,4.7,3.8,3.3,4.0,4.6,4.4
48,Wisconsin,2.7,2.4,3.0,2.8,2.9,4.2,4.0
49,Wyoming,1.4,3.2,2.4,2.9,2.7,2.7,3.4
