,2010,2011,2012,2013,2014,2015,2016
Alabama,640,630,620,630,630,630,640
Alaska,590,590,590,580,580,580,560
Arizona,580,590,590,590,590,590,600
Arkansas,650,650,640,650,650,650,650
California,580,580,570,570,570,570,570
Colorado,640,640,640,650,650,650,660
Connecticut,580,590,580,590,590,580,580
Delaware,560,560,530,530,530,540,530
District of Columbia,580,580,570,580,550,550,550
Florida,560,560,560,560,570,560,560
Georgia,560,560,560,560,560,560,560
Hawaii,550,550,550,550,550,560,560
Idaho,610,610,620,530,530,540,540
Illinois,670,670,680,680,680,680,690
Indiana,560,560,560,560,560,560,560
Iowa,690,680,690,680,680,670,680
Kansas,670,670,670,670,670,670,680
Kentucky,650,650,650,660,670,670,680
Louisiana,640,640,630,640,650,650,660
Maine,540,550,540,540,540,550,560
Maryland,580,580,580,580,580,580,580
Massachusetts,590,590,590,590,590,590,600
Michigan,670,670,670,670,680,680,680
Minnesota,670,670,670,670,680,680,690
Mississippi,660,650,640,650,670,660,680
Missouri,670,680,670,680,680,680,680
Montana,600,600,600,600,630,630,630
Nebraska,670,680,660,670,680,670,680
Nevada,560,560,550,560,560,560,580
New Hampshire,590,590,590,590,590,590,600
New Jersey,570,570,570,570,580,580,580
New Mexico,630,630,630,630,630,630,630
New York,560,560,560,560,560,560,560
North Carolina,570,560,560,570,570,570,570
North Dakota,660,670,670,680,700,670,670
Ohio,610,610,620,620,630,630,630
Oklahoma,650,650,650,650,660,660,660
Oregon,590,590,590,590,590,590,600
Pennsylvania,560,560,560,560,570,570,570
Puerto Rico,,520,520,520,540,530,540
Rhode Island,570,570,570,570,570,570,560
South Carolina,560,550,550,550,560,560,560
South Dakota,680,670,680,680,690,680,670
Tennessee,650,650,650,650,650,660,660
Texas,560,550,550,550,550,550,540
Utah,650,640,650,650,650,660,670
Vermont,590,590,590,590,600,600,590
Virgin Islands,,470,460,470,460,470,490
Virginia,590,590,580,590,590,590,590
Washington,600,600,590,590,590,580,580
West Virginia,580,580,580,580,590,580,590
Wisconsin,680,670,670,670,670,680,690
Wyoming,640,660,640,650,660,650,670
