,2010,2011,2012,2013,2014,2015,2016
Alabama,630,630,620,620,630,630,640
Alaska,590,580,580,580,570,580,550
Arizona,590,600,600,600,600,600,600
Arkansas,640,640,640,650,650,650,650
California,600,600,600,590,590,590,580
Colorado,650,640,650,650,660,660,660
Connecticut,600,600,600,600,600,600,590
Delaware,570,560,540,530,540,530,530
District of Columbia,580,560,570,570,550,540,530
Florida,570,560,560,560,560,560,550
Georgia,560,560,560,560,560,560,560
Hawaii,580,580,570,580,580,580,580
Idaho,610,610,610,530,520,530,520
Illinois,690,700,700,700,700,700,710
Indiana,570,570,570,570,570,570,570
Iowa,690,690,690,690,690,690,700
Kansas,670,670,670,670,680,680,690
Kentucky,650,650,650,660,670,670,680
Louisiana,640,640,620,640,640,650,660
Maine,540,540,550,550,550,550,560
Maryland,590,590,590,590,590,580,580
Massachusetts,610,610,610,610,610,610,610
Michigan,680,690,680,690,690,700,690
Minnesota,680,680,680,680,690,690,700
Mississippi,630,630,640,620,650,640,670
Missouri,680,680,670,680,680,680,690
Montana,610,610,600,610,620,620,620
Nebraska,670,680,670,670,670,680,690
Nevada,570,560,560,560,560,560,580
New Hampshire,600,600,600,600,600,600,600
New Jersey,600,600,600,600,610,610,600
New Mexico,630,620,630,620,620,620,620
New York,580,580,580,580,590,580,580
North Carolina,580,580,580,580,580,580,580
North Dakota,670,670,690,680,700,680,670
Ohio,620,620,630,630,640,640,640
Oklahoma,650,650,650,650,660,650,660
Oregon,590,590,590,590,590,590,590
Pennsylvania,580,580,580,580,580,580,580
Puerto Rico,,530,520,520,520,520,520
Rhode Island,570,570,570,570,570,570,570
South Carolina,570,560,560,550,560,560,560
South Dakota,680,670,690,690,690,670,670
Tennessee,650,650,650,650,650,650,660
Texas,580,570,570,570,570,560,550
Utah,640,640,650,650,650,660,670
Vermont,590,590,600,600,600,600,590
Virgin Islands,,440,450,450,440,440,460
Virginia,590,580,590,590,590,590,590
Washington,600,600,600,600,590,590,590
West Virginia,570,570,570,570,570,560,580
Wisconsin,680,680,680,680,690,680,690
Wyoming,630,640,650,650,660,650,680
