"MURDER RATES PER 100,000 PEOPLE ",,,,,,,
,,,,,,,
State,2016,2015,2014,2013,2012,2011,2010
Louisiana,11.8,10.5,10.3,10.8,10.6,11.1,11
Missouri,8.8,8.3,6.6,6.1,6.5,6.1,7
Alabama,8.4,7.2,5.7,7.2,7.1,6.2,5.7
Illinois,8.2,5.9,5.3,5.5,6,6.1,5.5
Maryland,8,9,6.1,6.4,6.3,6.8,7.4
Mississippi,8,8.5,8.6,6.5,7.1,7.8,6.9
Nevada,7.6,6.2,6,5.8,4.5,5.1,5.8
South Carolina,7.4,8.3,6.4,6.2,7,6.8,5.7
Tennessee,7.3,6.3,5.7,5,6.2,5.9,5.6
Arkansas,7.2,6.3,5.6,5.4,5.9,5.4,4.6
Alaska,7,8,5.6,4.6,4.1,4.1,4.3
New Mexico,6.7,5.6,4.8,6,5.6,7.6,6.8
North Carolina,6.7,5.2,5.1,4.8,4.9,5.2,5
Georgia,6.6,6.1,5.7,5.6,5.9,5.6,5.7
Indiana,6.6,5.6,5,5.4,4.7,4.7,4.1
Oklahoma,6.2,6.1,4.5,5.1,5.8,5.6,5.2
Michigan,6,5.9,5.4,6.4,7.1,6.2,5.9
Delaware,5.9,6.6,5.8,4.2,6.1,5.3,5.7
Kentucky,5.9,4.9,3.6,3.8,4.6,3.5,4.3
Virginia,5.8,4.7,4.1,3.8,3.9,3.8,4.7
Ohio,5.6,4.5,4,3.9,4.1,4.4,4.2
Arizona,5.5,4.5,4.7,5.4,5.5,6.1,6.4
Florida,5.4,5.1,5.8,5,5.2,5.2,5.2
Texas,5.3,4.8,4.4,4.3,4.4,4.4,4.9
Pennsylvania,5.2,5.2,4.8,4.7,5.5,5,5.1
California,4.9,4.8,4.4,4.6,5,4.8,4.8
West Virginia,4.4,4.6,4,3.3,3.8,4.7,3.1
New Jersey,4.2,4.1,3.9,4.5,4.4,4.3,4.2
Wisconsin,4,4.2,2.9,2.8,3,2.4,2.7
Kansas,3.8,4.3,3.1,3.9,2.9,3.9,3.4
Colorado,3.7,3.2,2.8,3.4,3.1,3,2.6
Montana,3.5,3.7,3.6,2.2,2.9,2.9,2.5
Wyoming,3.4,2.7,2.7,2.9,2.4,3.2,1.4
New York,3.2,3.1,3.1,3.3,3.5,3.9,4.5
South Dakota,3.1,3.8,2.3,2.4,2.8,2.4,2.8
Idaho,2.9,1.9,2,1.7,1.9,2.2,1.4
Oregon,2.8,2.7,2,2,2.3,2.2,2.5
Rhode Island,2.7,2.9,2.4,2.9,3.4,1.3,2.8
Washington,2.7,3,2.5,2.3,3.1,2.4,2.3
Nebraska,2.6,3.3,2.9,3.1,2.8,3.7,3
Hawaii,2.5,2,1.8,1.5,1.5,1.5,1.8
Utah,2.4,1.9,2.3,1.7,1.8,1.8,1.9
Iowa,2.3,2.3,1.9,1.4,1.6,1.4,1.2
Connecticut,2.2,3.2,2.4,2.4,4.1,3.6,3.7
Vermont,2.2,1.6,1.6,1.6,1.3,1.8,1.1
Massachusetts,2,1.9,2,2,1.8,2.8,3.3
North Dakota,2,2.8,3,2.2,3.6,3.5,1.5
Minnesota,1.8,2.4,1.6,2.1,1.8,1.4,1.8
Maine,1.5,1.7,1.6,1.8,2,2,1.8
New Hampshire,1.3,1.1,0.9,1.7,1.1,1.3,1
